model_name,filename,mae,rmse,r2,spearman,kendall,accuracy_5,accuracy_10,accuracy_20,is_best_model
Random Forest (Positional),random_forest_enhanced.pkl,17.87549291569006,25.033892876625362,0.8058657335622552,0.8962401801890364,0.7373816068352057,0.21432312123592565,0.401413982717989,0.6763550667714061,True
Gradient Boosting (Positional),gradient_boosting_enhanced.pkl,17.95945818794824,25.063494246407977,0.8054063533293088,0.8966837026434005,0.7366435076128106,0.2135375752814873,0.40272322597538623,0.6716417910447762,False
LightGBM (Positional),lightgbm_enhanced.pkl,18.45447686089394,25.411860086610123,0.7999593159058624,0.8952211975957283,0.7325889922586706,0.1966483372610631,0.38112071222833205,0.6607750720083791,False
XGBoost (Positional),xgboost_enhanced.pkl,18.882198688839704,25.807565023455723,0.7936809062957764,0.8928038200473419,0.7279127744281867,0.19586279130662476,0.3681592039800995,0.6449332285938727,False
Random Forest (One-Hot),random_forest_one-hot.pkl,17.454886803741346,25.00776185265931,0.8045515876316611,0.8935086267046455,0.7383072201108635,0.22610937212299762,0.42828208433069415,0.6939790093905358,False
Gradient Boosting (One-Hot),gradient_boosting_one-hot.pkl,17.496261993419154,24.960719255427797,0.8052862197919993,0.8940541906436569,0.7374982404254335,0.22979193518689006,0.4308598784754189,0.6899281900202541,False
Random Forest (PCA),random_forest_pca.pkl,17.55694826142429,26.258193243182422,0.784517414733626,0.8825279962489412,0.7379174697389053,0.23052844779966858,0.4557171791566931,0.709077517952495,False
LightGBM (One-Hot),lightgbm_one-hot.pkl,18.008849219642034,25.334226798225068,0.7994152990096131,0.8910378519308921,0.7308380942253007,0.21450929847173633,0.40379303995580923,0.6766709629902412,False
Gradient Boosting (PCA),gradient_boosting_pca.pkl,35.00782660701207,44.501878308345624,0.38107335340132664,0.8575444978477766,0.6973734254998977,0.12391824709998159,0.23421101086356103,0.3868532498619039,False
Mord LogisticIT (One-Hot),mord_logisticit_one-hot.pkl,108.8598784754189,124.20320897720671,-3.821122097961898,0.13143870885746425,0.09736519010226467,0.01638740563432149,0.03203829865586448,0.06518136623089671,False
Median, fh, 47.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, False